arxiv	doi	year	seeds	venue	title
2501.15709	10.1016/j.physc.2025.1354683	2025	varbench	Physica C: Superconductivity and its Applications	The significance of “stripes” in the physics of the cuprates, the Hubbard model, and other highly correlated electronic systems
	10.5802/crphys.229	2025	varbench	Comptes Rendus. Physique	Classical and quantum algorithms for many-body problems
2501.12130	10.1103/2jpn-jh3x	2025	varbench	PRX Intelligence	Quantum-Enhanced Neural Networks for Quantum Many-Body Simulations
2501.09702		2025	varbench		Quantum-Centric Algorithm for Sample-Based Krylov Diagonalization
2412.11778	10.1103/kqvx-dl54	2024	varbench	Physical review letters	Time-Dependent Neural Galerkin Method for Quantum Dynamics.
2412.12398	10.1038/s41534-026-01230-1	2024	varbench	npj Quantum Information	Polynomially efficient quantum enabled variational Monte Carlo for training neural-network quantum states for physico-chemical applications
2412.04554	10.1103/rw81-k8vk	2024	varbench	Physical review letters	Double-Bracket Quantum Algorithms for Quantum Imaginary-Time Evolution.
2411.18921	10.1103/zpjv-bm5c	2024	varbench	Physical Review Research	Effective temperature in approximate quantum many-body states
2411.04527	10.1103/physrevresearch.7.023316	2024	varbench	Physical Review Research	Efficiency of the hidden fermion determinant states Ansatz in the light of different complexity measures
2411.04120	10.2172/3018802	2024	varbench		Second-Order Cone Relaxations For Quantum Max Cut
2410.16408	10.1103/physrevresearch.7.023113	2024	varbench	Physical Review Research	Neural network distillation of orbital dependent density functional theory
2410.13646	10.1103/hbrt-cn8q	2024	varbench	Physical Review Research	Certifying steady-state properties of open quantum systems
2410.10720	10.22331/q-2025-07-22-1803	2024	varbench	Quantum	Neural Projected Quantum Dynamics: a systematic study
2410.07789	10.1103/physreva.111.052619	2024	varbench	Physical Review A	Simulating the Fermi-Hubbard model with long-range hopping on a quantum computer
2410.02633	10.7566/jpsj.94.031001	2024	varbench	Journal of the Physical Society of Japan	Quantum Many-Body Solver Using Artificial Neural Networks and its Applications to Strongly Correlated Electron Systems
