arxiv	peer_reviewed	title	instance	verdict	eps	err	rel_pct	kind	convention	src	table	row_label	col_header	sizes	note	record_eps	record_method	exact_eps	caption
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.1061		-48.311	variational?		pdf	1	116/144 12×12	Condition	12x12,8x8,10x10	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/rectangular-4x16_64_PO_32_8	BEATS	-0.7618		-48.089	variational?		pdf	2	inal backflow and the single tensor representation for the 4 × 16	BW2	4x16	filling=UNSTATED(instance delta=0.0000)	-0.514421875	DMRG (MaxLinkDim = 4000, MaxTruncErr~4.7E-07)		TABLE III. Comparisons of energies(per site) for the Fermi- Hubbard model on rectangular lattices with PBC. Reference energies for n = 1 are from the AFQMC27. For n = 0.875, the Ref.1 are from NN backflow18 and the Ref.2 are from
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.1038		-48.002	variational?		pdf	1	116/144 12×12	Condition	12x12,8x8,10x10	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_64_P_0.55	BEATS	-0.7219		-47.806	variational?		pdf	1	0.875 16×16	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.55)	-0.48841	VMC + 2 Lanczos steps		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2308.11823	yes	Solving Fermi-Hubbard-type Models by Tensor Representations of Backflow Corrections	Hubbard/rectangular-4x16_64_PO_32_8	BEATS	-0.7597		-47.680	variational?		pdf	2	inal backflow and the single tensor representation for the 4 × 16	BW1	4x16	filling=UNSTATED(instance delta=0.0000)	-0.514421875	DMRG (MaxLinkDim = 4000, MaxTruncErr~4.7E-07)		TABLE III. Comparisons of energies(per site) for the Fermi- Hubbard model on rectangular lattices with PBC. Reference energies for n = 1 are from the AFQMC27. For n = 0.875, the Ref.1 are from NN backflow18 and the Ref.2 are from
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.5	BEATS	-0.736329	0.000009	-47.572	variational?		html	0	DMRG ( 8 × 4 )	E 0 / M	8x4,8x8	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2511.07566	no	Superconductivity in the two-dimensional Hubbard model revealed by neural quantum states	Hubbard/square_36_P_24_4	BEATS	0.07778		-47.478	variational?		html	6	6	σ 2 / N	N=6,L=6	filling=UNSTATED(instance delta=-0.3333)	0.14809	CP AFQMC with Constraint Release; no strict upper bound property		Table 7: Energy and variance per site of the lowest energy wavefunction on the 144 site cluster at various U
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.5	BEATS	-0.73342	0.00008	-46.989	variational?		html	0	HFDS ( 8 × 4 )	E 0 / M	8x4,8x8	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.5	BEATS	-0.7332	0.0006	-46.945	variational?		html	0	JBf ( 8 × 4 )	E 0 / M	8x4,8x8	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2507.10705	no	Neural Network-Augmented Pfaffian Wave-functions for Scalable Simulations of Interacting Fermions	Hubbard/square_64_P_28_8	BEATS	-1.094397918		-46.741	exact/limit		html	1	8	E ED / N site	N=8,L=8,4x4	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		Table 2: Raw data of Fig. 4 in the 4 × 4 lattice with particle density n = 5 / 8 .
