score	arxiv	peer_reviewed	n_energies	n_with_errorbar	n_tables	models	journal_ref	title
9	2507.10471	yes	2	0	43	kagome+triangular+pyrochlore+Hubbard	SciPost Phys. 20, 121 (2026)	Resonating Valence Bond Ground States on Corner-sharing Simplices
9	2607.13781	no	8	7	153			jQMC: A JAX-based ab initio quantum Monte Carlo package designed for GPU-accelerated computing
9	2503.12557	yes	2	0	30	kagome+triangular+J1J2+Hubbard	Phys. Rev. B 111, 195120 (2025)	Efficient optimization and conceptual barriers in variational finite Projected Entangled-Pair States
9	2608.02473	no	30	0	51	kagome+triangular+square-Heis		Optimized Tensor-Network Renormalization for Quantum Dynamics: Resolving the Spectral Function of $\mathrm{K_2Co(SeO_3)_2}$
9	2509.13746	no	19	0	44	kagome+triangular+pyrochlore+Hubbard		Closely competing valence bond crystal orders in the ground state of the spin-$\frac{1}{2}$ antiferromagnetic Heisenberg model on the pyrochlore lattice: a large scale unrestricted variational study
9	2507.10287	no	313	254	46			Grassmann Variational Monte Carlo with neural wave functions
8	2507.01856	no	78	0	35	J1J2+Hubbard		Investigating the Fermi-Hubbard model by the tensor-backflow method
8	2506.11222	yes	0	0	18	kagome+J1J2+Hubbard+TFIsing	Phys. Rev. Research 7, 043291 (2025)	Many-Body Neural Network Wavefunction for a Non-Hermitian Ising Chain
8	2511.06623	yes	0	0	52	kagome+Hubbard+TFIsing	Phys. Rev. Research 8, 023358 (2026)	Quantum algorithm for one-quasiparticle excitations in the thermodynamic limit via cluster-additive block diagonalization
8	2503.14131	yes	0	0	77	kagome+triangular+pyrochlore+Hubbard	Phys. Rev. B 111, 235154 (2025)	Spinor ice correlation in flat-band electronic states on kagome and pyrochlore lattices with spin-orbit coupling
8	2503.05353	yes	0	0	86	kagome+triangular+pyrochlore	Phys. Rev. B 111, 214444 (2025)	Field-induced Multi-$\boldsymbol{\vec{Q}}$ States in a Pyrochlore Heisenberg Magnet
